iter	MAE	RMSE
201	8675.815254	15090.095
202	8665.80533	15064.00838
203	8658.007113	15041.36331
204	8648.138513	15016.86364
205	8592.370035	14938.41868
206	8553.247895	14862.88903
207	8526.383668	14790.16355
208	8505.166604	14757.18322
209	8478.801807	14686.74046
210	8464.054253	14664.33021
211	8449.569381	14642.72644
212	8437.92313	14591.14467
213	8417.253939	14560.45668
214	8390.262834	14513.36373
215	8376.5935	14494.11437
216	8351.382012	14428.09806
217	8326.637614	14364.54183
218	8300.288179	14320.15626
219	8289.629583	14275.36557
220	8279.120042	14232.49635
221	8255.363534	14174.72485
222	8229.587111	14132.84151
223	8216.676396	14116.01651
224	8193.492293	14060.31816
225	8180.819038	14044.11602
226	8168.379453	14028.50769
